きみにちょっとしたものをもってきたよ。	I brought you a little something.	Te traje algo pequeño.	Ich habe dir eine Kleinigkeit mitgebracht.
何かしてみましょう。	Let's try something.	Hagamos algo.	Lass uns etwas probieren.
私は眠らなければなりません。	I have to go to sleep.	Tengo que ir a dormir.	Ich muss schlafen gehen.
私は眠らなければなりません。	I have to sleep.	Tengo que dormir.	Ich muss schlafen.
何してるの？	What are you doing?	¿Qué estás haciendo?	Was machst du?
今日は６月１８日で、ムーリエルの誕生日です！	Today is June 18th and it is Muiriel's birthday!	Hoy es 18 de junio y es el cumpleaños de Muiriel.	Heute ist der 18. Juni und es ist Muiriels Geburtstag!
お誕生日おめでとうムーリエル！	Happy birthday, Muiriel!	¡Feliz cumpleaños, Muiriel!	Alles Gute zum Geburtstag, Muiriel!
ムーリエルは２０歳になりました。	Muiriel is 20 now.	Muiriel tiene 20 años ahora.	Muiriel ist jetzt 20 Jahre alt.
ムーリエルは２０歳になりました。	Muiriel has turned twenty.	Muiriel ha cumplido veinte años.	Muiriel ist zwanzig geworden.
パスワードは「Muiriel」です。	The password is "Muiriel".	La contraseña es "Muiriel".	Das Passwort ist "Muiriel".
すぐに戻ります。	I will be back soon.	Volveré pronto.	Ich komme bald zurück.